Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description\
t4,3-2,2,---,1(0-0)\'a0X,O,SFG,Drew\'a0Stubbs,Clayton\'a0Kershaw,-1%,58%,Flyball: RF (Short RF Line)\
t5,3-2,0,---,3(0-2)\'a0FCX,O,SFG,Johnny\'a0Cueto,Clayton\'a0Kershaw,-2%,62%,Groundout: 3B-1B (Weak 3B)\
t5,3-2,1,---,2(1-0)\'a0BX,,SFG,Gorkys\'a0Hernandez,Clayton\'a0Kershaw,4%,66%,Single to P/Bunt (Bunt to Front of Home); Hernandez to 2B/Adv on E1 (throw)\
t5,3-2,1,-2-,7(2-2)\'a0BFF*BFF>X,R,SFG,Christian\'a0Arroyo,Clayton\'a0Kershaw,10%,76%,Single to LF (Line Drive to Short LF); Hernandez Scores/unER\
t5,4-2,1,1--,2(0-1)\'a0CX,OO,SFG,Hunter\'a0Pence,Clayton\'a0Kershaw,-4%,72%,Ground Ball Double Play: SS-2B-1B\
t6,4-2,0,---,1(0-0)\'a0X,O,SFG,Buster\'a0Posey,Clayton\'a0Kershaw,-2%,77%,Flyball: CF (Deep CF)\
t6,4-2,1,---,3(0-2)\'a0CCS,O,SFG,Mike\'a0Morse,Clayton\'a0Kershaw,-1%,76%,Strikeout Swinging\
t6,4-2,2,---,7(3-2)\'a0CBFBBFX,,SFG,Eduardo\'a0Nunez,Clayton\'a0Kershaw,2%,77%,Ground-rule Double (Line Drive to Deep LF)\
t6,4-2,2,-2-,8(3-2)\'a0C*BFBFFBX,O,SFG,Joe\'a0Panik,Clayton\'a0Kershaw,-3%,75%,Groundout: SS-1B (SS-2B)\
b1,0-0,0,---,3(0-2)\'a0CFX,,SDP,Manuel\'a0Margot,Clayton\'a0Kershaw,-4%,42%,Single to CF (Line Drive to Short CF)\
b1,0-0,0,1--,2(0-1)\'a0FX,,SDP,Cory\'a0Spangenberg,Clayton\'a0Kershaw,-5%,36%,Single to SS (Ground Ball); Margot to 2B\
